운동명,단위체중당에너지소비량,감정매핑,운동목적
바벨 스쿼트,6.0,"자신감, 활력","체력 향상, 체중감량"
다트,2.5,"집중, 차분함","스트레스 해소, 체형 교정"
야구 캐치볼,2.5,"활력, 기쁨","체력 향상, 스트레스 해소"
당구,2.5,"차분함, 집중","스트레스 해소, 체형 교정"
요가,2.5,"만족, 차분함","스트레스 해소, 체형 교정"
하타 요가,2.5,"차분함, 불안","스트레스 해소, 체형 교정"
파워요가,4.0,"활력, 설렘","체력 향상, 스트레스 해소"
수리야 나마스까 요가,3.3,"만족, 활력","스트레스 해소, 체력 향상"
나디소다나 요가,2.0,"불안, 차분함","스트레스 해소, 체형 교정"
스트레칭(가볍게),2.5,"만족, 차분함","스트레스 해소, 체형 교정"
낚시,3.0,"차분함, 외로움","스트레스 해소, 체형 교정"
대청소,3.0,"활력, 기쁨","체력 향상, 스트레스 해소"
세차,3.0,"활력, 만족","스트레스 해소, 체형 교정"
볼링,3.0,"기쁨, 활력","체력 향상, 스트레스 해소"
유연체조,3.5,"만족, 활력","체력 향상, 스트레스 해소"
타이치,4.0,"차분함, 불안","스트레스 해소, 체형 교정"
수중 에어로빅,4.0,"활력, 설렘","체력 향상, 체중감량"
팔굽혀펴기(격렬하게),8.0,"자신감, 활력","체력 향상, 체중감량"
푸쉬업(가볍게),3.0,"활력, 집중","체력 향상, 스트레스 해소"
푸쉬업(격렬하게),8.0,"자신감, 활력","체력 향상, 체중감량"
런지(보통으로),3.8,"자신감, 활력","체력 향상, 체중감량"
레그 레이즈,5.0,"집중, 활력","체력 향상, 체중감량"
와일드 런지,5.5,"활력, 설렘","체력 향상, 체중감량"
윗몸일으키기(가볍게),2.8,"활력, 만족","체력 향상, 스트레스 해소"
윗몸일으키기(격렬하게),8.0,"자신감, 활력","체력 향상, 체중감량"
크런치(가볍게),3.0,"활력, 집중","체력 향상, 체형 교정"
크런치(격렬하게),8.0,"자신감, 활력","체력 향상, 체중감량"
스쿼트,5.5,"자신감, 활력","체력 향상, 체중감량"
탁구랠리,4.0,"활력, 기쁨","체력 향상, 스트레스 해소"
태극권,4.0,"차분함, 불안","체력 향상, 스트레스 해소"
아쿠아로빅,4.0,"활력, 기쁨","체력 향상, 체중감량"
골프,4.8,"차분함, 만족","체력 향상, 스트레스 해소"
라인댄스,7.8,"기쁨, 설렘","스트레스 해소, 체력 향상"
싸이클론,7.0,"활력, 설렘","체력 향상, 체중감량"
사이클론,7.0,"활력, 활력 충전","체력 향상, 체중감량"
체스트 프레스,5.0,"자신감, 활력","체력 향상, 체중감량"
제자리뛰기,5.5,"활력, 설렘","체력 향상, 체중감량"
트랙걷기,4.5,"차분함, 만족","체력 향상, 스트레스 해소"
운동장 걷기,4.5,"차분함, 피로 해소","스트레스 해소, 체력 향상"
배드민턴 랠리,4.5,"활력, 기쁨","체력 향상, 스트레스 해소"
걷기,4.5,"차분함, 외로움 해소","체력 향상, 스트레스 해소"
농구슈팅 연습,4.5,"활력, 자신감","체력 향상, 체중감량"
재즈댄스,4.8,"기쁨, 활력","체력 향상, 스트레스 해소"
트위스트 댄스,4.8,"기쁨, 설렘","스트레스 해소, 체력 향상"
헬스(격렬하게),7.8,"자신감, 활력","체력 향상, 체중감량"
테니스 복식경기,5.0,"활력, 기쁨","체력 향상, 스트레스 해소"
레프팅,5.0,"활력, 설렘","체력 향상, 체중감량"
에어로빅(저강도),5.0,"만족, 활력","체력 향상, 스트레스 해소"
에어로빅(중강도),6.5,"기쁨, 활력","체중감량, 체력 향상"
에어로빅(고강도),7.3,"활력, 설렘","체력 향상, 체중감량"
댄스(가볍게),4.5,"기쁨, 만족","스트레스 해소, 체력 향상"
살사댄스,4.5,"기쁨, 설렘","스트레스 해소, 체력 향상"
플라멩고,4.5,"기쁨, 설렘","스트레스 해소, 체력 향상"
포크댄스,7.8,"기쁨, 만족","스트레스 해소, 체력 향상"
다이어트 댄스,4.5,"활력, 기쁨","체력 향상, 스트레스 해소"
싸이클,7.0,"활력, 설렘","체력 향상, 체중감량"
볼륨댄스,5.5,"기쁨, 설렘","체력 향상, 스트레스 해소"
스포츠댄스,5.5,"기쁨, 설렘","스트레스 해소, 체력 향상"
댄스스포츠,5.5,"기쁨, 설렘","스트레스 해소, 체력 향상"
탱고,5.5,"설렘, 기쁨","스트레스 해소, 체력 향상"
테니스 단식경기,7.0,"집중, 활력","체력 향상, 체중감량"
스케이팅,7.0,"설렘, 활력","체력 향상, 체중감량"
달리기/걷기,6.0,"활력, 만족","체력 향상, 체중감량"
재즈사이즈,6.0,"기쁨, 활력","체력 향상, 체중감량"
런닝머신(달리기),9.0,"활력, 설렘","체력 향상, 체중감량"
웨이트운동(보통으로) - 전신,5.0,"자신감, 활력","체력 향상, 체중감량"
웨이트운동(가볍게) - 전신,3.5,"활력, 만족","체력 향상, 스트레스 해소"
저항성운동(가볍게) - 전신,3.5,"활력, 만족","체력 향상, 스트레스 해소"
보디빌딩(격렬하게),6.0,"자신감, 활력","체력 향상, 체중감량"
보디빌딩(가볍게),3.5,"활력, 만족","체력 향상, 스트레스 해소"
레그 프레스,5.0,"자신감, 활력","체력 향상, 체중감량"
아령들기,5.5,"자신감, 활력","체력 향상, 체중감량"
훌라후프,5.5,"기쁨, 활력","체력 향상, 체중감량"
캠핑,2.5,"만족, 차분함","스트레스 해소, 체형 교정"
케틀벨,5.5,"자신감, 활력","체력 향상, 체중감량"
스텝박스,5.5,"활력, 설렘","체력 향상, 체중감량"
계단내려가기,3.0,"활력, 기쁨","체력 향상, 스트레스 해소"
계단오르기,8.0,"활력, 자신감","체력 향상, 체중감량"
스크린골프,4.0,"차분함, 만족","체력 향상, 체형 교정"
턱걸이(보통으로),5.0,"자신감, 활력","체력 향상, 체중감량"
풀업(가볍게) - 상지(어깨),2.8,"자신감, 활력","체력 향상, 스트레스 해소"
풀업(보통으로) - 상지(어깨),3.8,"자신감, 활력","체력 향상, 체중감량"
로프운동,6.0,"활력, 설렘","체력 향상, 체중감량"
스키,6.0,"설렘, 활력","체력 향상, 체중감량"
스키(가볍게),5.0,"만족, 활력","체력 향상, 스트레스 해소"
스키머신(보통으로),6.8,"활력, 집중","체력 향상, 체중감량"
하이킹,6.0,"활력, 만족","체력 향상, 스트레스 해소"
산책,4.0,"차분함, 만족","스트레스 해소, 체형 교정"
산행,4.0,"활력, 만족","체력 향상, 스트레스 해소"
